month,division,line,day_type,num_sched_trains,num_actual_trains,service delivered
2020-04-01,B DIVISION,M,2,480,286,59.5833333
2020-04-01,B DIVISION,M,1,789,655,83.0164766
2020-04-01,B DIVISION,N,2,762,455,59.7112861
2020-04-01,B DIVISION,N,1,923,809,87.6489707
2020-04-01,B DIVISION,Q,2,928,770,82.9741379
2020-04-01,B DIVISION,Q,1,936,878,93.8034188
2020-04-01,B DIVISION,R,2,640,526,82.1875
2020-04-01,B DIVISION,R,1,780,679,87.0512821
2020-04-01,B DIVISION,S Fkln,1,468,467,99.7863248
2020-04-01,B DIVISION,S Fkln,2,352,352,100
2020-04-01,B DIVISION,S Rock,2,224,224,100
2020-04-01,B DIVISION,S Rock,1,234,234,100
2020-04-01,Systemwide,Systemwide,1,14149,13209,93.3564209
2020-04-01,Systemwide,Systemwide,2,11366,8812,77.5294739
2020-03-01,A DIVISION,1,1,1245,1243,99.8393574
2020-03-01,A DIVISION,1,2,839,809,96.4243147
2020-03-01,A DIVISION,2,1,1650,1631,98.8484848
2020-03-01,A DIVISION,2,2,1184,1150,97.1283784
2020-03-01,A DIVISION,3,1,1530,1527,99.8039216
2020-03-01,A DIVISION,3,2,1120,1109,99.0178571
2020-03-01,A DIVISION,4,1,2035,1998,98.1818182
2020-03-01,A DIVISION,4,2,1665,1573,94.4744745
2020-03-01,A DIVISION,5,2,718,697,97.0752089
2020-03-01,A DIVISION,5,1,1805,1795,99.4459834
2020-03-01,A DIVISION,6,2,836,787,94.138756
2020-03-01,A DIVISION,6,1,1545,1470,95.1456311
2020-03-01,A DIVISION,7,1,2040,1996,97.8431373
2020-03-01,A DIVISION,7,2,1064,1055,99.1541353
2020-03-01,A DIVISION,S 42nd,2,1272,1256,98.7421384
2020-03-01,A DIVISION,S 42nd,1,1550,1535,99.0322581
2020-03-01,B DIVISION,A,1,1935,1843,95.245478
2020-03-01,B DIVISION,A,2,1236,1187,96.0355987
2020-03-01,B DIVISION,B,1,1260,1216,96.5079365
2020-03-01,B DIVISION,C,1,1125,1061,94.3111111
2020-03-01,B DIVISION,C,2,641,599,93.4477379
2020-03-01,B DIVISION,D,1,1365,1328,97.2893773
2020-03-01,B DIVISION,D,2,1244,1196,96.1414791
2020-03-01,B DIVISION,E,2,320,316,98.75
2020-03-01,B DIVISION,E,1,1170,1093,93.4188034
2020-03-01,B DIVISION,F,2,960,941,98.0208333
2020-03-01,B DIVISION,F,1,2175,2093,96.2298851
2020-03-01,B DIVISION,G,2,1575,1558,98.9206349
2020-03-01,B DIVISION,G,1,675,659,97.6296296
2020-03-01,B DIVISION,JZ,2,620,611,98.5483871
2020-03-01,B DIVISION,JZ,1,765,752,98.3006536
